t,step,run_id,sat_id,station_id,active,beam,channel,elev_deg,az_deg,range_km,scan_deg,snr_db,sinr_db,inr_db,ber,rain_fade_db,alloc_bw_hz,alloc_power_w,rate_bps,clean_rate_bps,bits_delivered,slewing,session_age_s
90.0,9,52bb211583b2,SAT-101,Bengaluru-ISTRAC,True,0,0,71.25365678447116,341.19328367516835,630.5021250473819,18.74634321552884,18.614943419604472,14.324401762931412,2.2677497578739807,9.826198361959743e-08,0.0,50000000.0,1.3636363636363638,240540156.62065747,275000000.0,2405401566.206575,False,90.0
90.0,9,52bb211583b2,SAT-102,Bengaluru-ISTRAC,True,1,0,81.87814859291528,89.38053114277785,605.5487646955186,8.12185140708472,19.23028902344869,14.789599978182526,2.504576544924278,2.022992277911077e-08,0.0,50000000.0,1.3636363636363638,248005392.40275398,275000000.0,2480053924.0275397,False,90.0
90.0,9,52bb211583b2,SAT-104,Bengaluru-ISTRAC,True,3,0,46.84818708652022,134.53944993029245,793.4356918509269,43.15181291347978,17.182193363608263,10.411789217953185,5.744705072327983,0.0004568918555170123,0.0,50000000.0,2.2272727272727275,179215579.1547614,275000000.0,1792155791.547614,False,90.0
90.0,9,52bb211583b2,SAT-105,Bengaluru-ISTRAC,True,2,0,35.34995129428943,136.75919194654395,960.6843746649735,54.65004870571057,16.597686456363746,9.677880019625341,5.933055723548694,0.00115510744934028,0.0,50000000.0,3.9545454545454546,168124408.19830018,275000000.0,1681244081.9830017,False,40.0
90.0,9,52bb211583b2,SAT-200,Ahmedabad-SAC,False,,,51.866540910299584,211.53511419665335,743.5568625501203,38.133459089700416,14.89886813864264,14.89886813864264,-300.0,1.3619322055215875e-08,3.0,50000000.0,5,0.0,249762695.72882783,0.0,False,0.0
90.0,9,52bb211583b2,SAT-201,Ahmedabad-SAC,True,3,0,69.5535212993695,201.68622670067228,636.5561113851131,20.446478700630493,16.891197317347945,13.997823397194349,-0.2370874041211769,2.712796126655998e-07,3.0,50000000.0,3.9545454545454546,235316245.03629202,275000000.0,2353162450.3629203,False,90.0
90.0,9,52bb211583b2,SAT-202,Delhi,False,,,33.860286980931214,212.60838801311886,989.6297609040575,56.139713019068786,14.125886283092782,14.125886283092782,-300.0,1.837749728985712e-07,0.0,50000000.0,5,0.0,237362990.72163257,0.0,False,0.0
90.0,9,52bb211583b2,SAT-202,Ahmedabad-SAC,True,2,0,82.49990987827515,105.93643152555978,604.7267426432866,7.500090121724853,16.778932443920354,13.59857777769204,0.3337008153397134,8.527375514349355e-07,3.0,50000000.0,3.090909090909091,228950483.90391612,275000000.0,2289504839.039161,False,50.0
90.0,9,52bb211583b2,SAT-204,Delhi,True,1,0,59.07559939065112,198.97244243158372,688.9385548951086,30.92440060934888,16.384972940727366,13.93063177024298,-1.1936833640605289,3.3131935704763483e-07,0.0,50000000.0,2.2272727272727275,234243285.25904384,275000000.0,2342432852.5904384,False,10.0
90.0,9,52bb211583b2,SAT-204,Ahmedabad-SAC,False,,,47.921720637489784,48.36377473074356,781.8108874161042,42.078279362510216,13.884844047328912,13.884844047328912,-300.0,3.790336474270586e-07,3.0,50000000.0,5,0.0,233512486.09012175,0.0,False,0.0
