network,profile,beams_per_station,n_sats,policy,oracle_gbit,pct_optimal,wall_s,throughput_mbps,delivered_gbit,completion_rate,mean_wait_s,mean_latency_s,beam_utilization,peak_beam_utilization,station_utilization,sla_compliance,fairness,drop_rate,dropped_gbit,handovers,reacquisitions,mean_decision_ms,p50_decision_ms,p99_decision_ms,max_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers
india8,baseline,4,40,horizon/sla,802.332704260811,100.63796055464749,3.0789994999940973,134.57521173850523,807.4512704310315,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.052083333333333336,0.65,0.30929724112625306,0.21369593381454866,219.4431653922121,11,11,0.19183033298759256,0.14940000255592167,0.5438999942271039,0.8115999953588471,19.8178590909091,40.74361749808927,0,0.0,0
india8,congested,4,80,fcfs/strongest,1728.6252336966518,100.27987545775532,5.508752099995036,288.910538580389,1733.463231482334,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10875,0.65,0.3343260542824513,0.19012020663866402,406.932473771337,25,25,0.04245883375309253,0.03840000135824084,0.10819999442901462,0.2131000073859468,43.83873863636365,39.54181359690056,0,0.0,0
india8,congested,4,80,ljf/strongest,1728.6252336966518,100.27987545775532,5.439953199995216,288.910538580389,1733.463231482334,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10875,0.65,0.3343260542824513,0.19012020663866402,406.932473771337,25,25,0.04068916675654085,0.03609999839682132,0.09670000872574747,0.1134999911300838,43.838738636363644,39.54181359690057,0,0.0,0
india8,congested,4,80,sjf/strongest,1728.6252336966518,100.27987545775532,5.448835200004396,288.910538580389,1733.463231482334,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10875,0.65,0.3343260542824513,0.19012020663866402,406.932473771337,25,25,0.039993666505324654,0.034900003811344504,0.09820000559557229,0.15449999773409218,43.83873863636365,39.54181359690056,0,0.0,0
india8,congested,4,80,edf/strongest,1728.6252336966518,100.27987545775532,5.6056726000097115,288.910538580389,1733.463231482334,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10875,0.65,0.3343260542824513,0.19012020663866402,406.932473771337,25,25,0.04351016703973679,0.038700003642588854,0.10280001151841134,0.21919999562669545,43.83873863636365,39.54181359690056,0,0.0,0
india8,congested,4,80,priority/strongest,1728.6252336966518,100.27987545775532,5.451312200006214,288.910538580389,1733.463231482334,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10875,0.65,0.3343260542824513,0.19012020663866402,406.932473771337,25,25,0.041935666716502354,0.037699996028095484,0.10019999172072858,0.17470000602770597,43.83873863636365,39.54181359690056,0,0.0,0
india8,congested,4,80,priority/least_loaded,1728.6252336966518,100.29864079227326,5.459070299999439,288.96460229833315,1733.787613789999,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.110625,0.65,0.33427712934584897,0.18996865414448327,406.60809146367205,25,25,0.04166816640160202,0.037300007534213364,0.09470000804867595,0.13719999697059393,43.84690000000002,39.54185161984082,0,0.0,0
india8,congested,4,80,hungarian/throughput,1728.6252336966518,100.27987545775532,5.518048300000373,288.910538580389,1733.463231482334,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10875,0.65,0.3343260542824513,0.19012020663866402,406.932473771337,25,25,0.12012566665362101,0.11670000094454736,0.25940001069102436,0.38770001265220344,43.95096818181822,39.44084290273812,0,0.0,0
india8,congested,4,80,mip,1728.6252336966518,100.27987545775532,5.99948480000603,288.910538580389,1733.463231482334,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10875,0.65,0.3343260542824513,0.19012020663866402,406.932473771337,25,25,0.8187241666989091,0.22909999825060368,8.42949999787379,11.768600001232699,43.83873863636365,39.54181359690056,0,0.0,0
india8,congested,4,80,horizon/throughput,1728.6252336966518,100.29690823917522,5.861885899998015,288.95961073999325,1733.7576644399594,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10791666666666666,0.65,0.3342857715651106,0.18998264658053898,406.6380408137117,22,22,0.05947299990414952,0.04980000085197389,0.16969999705906957,0.2798000059556216,44.76260227272731,38.73228043974318,0,0.0,0
