target_elev_deg,achieved_elev_deg,weather_state,power_allocator,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
50.0,49.97493967875336,clear,fixed,0,480.0,1.0,1.0,7.947285970052083e-17,0.0,0.16,1.0000000000000002,0.0036558334538009754,9.8,48.97959183673469,0,0.0,0,0.04912499999954889
50.0,49.97493967875336,clear,fixed,1,480.0,1.0,1.0,6.357828776041667e-17,0.0,0.16,1.0,0.0035854166071658256,9.8,48.97959183673469,0,0.0,0,0.048753700000816025
50.0,49.97493967875336,clear,fixed,2,480.00000000000006,1.0,1.0,1.5894571940104167e-17,0.0,0.16,1.0000000000000002,0.00367124994227197,9.8,48.9795918367347,0,0.0,0,0.04960419999952137
50.0,49.97493967875336,clear,adaptive,0,479.99999999999994,1.0,1.0,1.2715657552083334e-16,0.0,0.14666666666666667,0.9999999999999999,0.0035925000778055014,12.977954545454633,36.98579759382144,0,0.0,0,0.05062039999938861
50.0,49.97493967875336,clear,adaptive,1,480.0,1.0,1.0,7.947285970052083e-17,0.0,0.14666666666666667,1.0000000000000002,0.0036124999572469583,13.051363636363723,36.77776616863417,0,0.0,0,0.050227200001245365
50.0,49.97493967875336,clear,adaptive,2,480.0,1.0,1.0,9.5367431640625e-17,0.0,0.14666666666666667,1.0,0.0036341666600492317,12.982272727272811,36.97349532579368,0,0.0,0,0.05056409999997413
50.0,49.97493967875336,light_rain,fixed,0,480.0,1.0,1.0,7.947285970052083e-17,0.0,0.19708333333333333,1.0,0.0037220833367731148,12.025,39.91683991683992,0,0.0,0,0.0541060000014113
50.0,49.97493967875336,light_rain,fixed,1,480.0,1.0,1.0,1.2715657552083334e-16,0.0,0.19666666666666666,1.0,0.0036595833459311207,12.0,40.0,0,0.0,0,0.05204119999871182
50.0,49.97493967875336,light_rain,fixed,2,480.0,1.0,1.0,1.5894571940104167e-17,0.0,0.19666666666666666,0.9999999999999999,0.0037174999912773883,12.0,40.0,0,0.0,0,0.05256790000021283
50.0,49.97493967875336,light_rain,adaptive,0,480.0,1.0,1.0,6.357828776041667e-17,0.0,0.18,1.0,0.0036441666755611854,17.51340909090907,27.407570822356927,0,0.0,0,0.05382119999921997
50.0,49.97493967875336,light_rain,adaptive,1,480.0,1.0,1.0,1.1126200358072918e-16,0.0,0.18,1.0,0.003600833323010496,17.565227272727245,27.326717300451605,0,0.0,0,0.05327480000050855
50.0,49.97493967875336,light_rain,adaptive,2,479.99999999999994,1.0,1.0,9.5367431640625e-17,0.0,0.18,0.9999999999999997,0.003673750037099429,17.59977272727272,27.273079456088027,0,0.0,0,0.05382079999981215
50.0,49.97493967875336,heavy_rain,fixed,0,423.8528804702973,0.0,1.0,0.11697316568688063,407.5,0.225,0.9999706430568244,0.006682916606829774,13.5,31.396509664466468,0,0.0,0,0.0789466000005632
50.0,49.97493967875336,heavy_rain,fixed,1,423.90381022609864,0.0,1.0,0.1168670620289612,407.5,0.22541666666666665,0.9999654682774242,0.006603333198048253,13.525,31.342241051837238,0,0.0,0,0.07885279999936756
50.0,49.97493967875336,heavy_rain,fixed,2,423.4432702007489,0.0,1.0,0.11782652041510643,410.625,0.225,0.9999368225927229,0.006610833262736075,13.5,31.366168163018436,0,0.0,0,0.07871919999888632
50.0,49.97493967875336,heavy_rain,adaptive,0,480.0,1.0,1.0,7.947285970052083e-17,0.0,0.18541666666666667,1.0,0.004244999922775605,22.65,21.192052980132452,0,0.0,0,0.0582245999994484
50.0,49.97493967875336,heavy_rain,adaptive,1,480.0,1.0,1.0,9.5367431640625e-17,0.0,0.18458333333333332,1.0,0.0043245833846109845,22.55,21.286031042128602,0,0.0,0,0.058913400000164984
50.0,49.97493967875336,heavy_rain,adaptive,2,480.0,1.0,1.0,1.2715657552083334e-16,0.0,0.18541666666666667,1.0000000000000002,0.004350416656961897,22.65,21.192052980132452,0,0.0,0,0.058536000000458444
50.0,49.97493967875336,storm,fixed,0,309.2830898327041,0.0,1.0,0.35566022951519966,435.625,0.18708333333333332,0.9999503024525006,0.007000000065697047,11.225,27.553059227857826,0,0.0,0,0.07888800000000629
50.0,49.97493967875336,storm,fixed,1,308.9836275603938,0.0,1.0,0.3562841092491796,436.25,0.18666666666666668,0.9999259835929283,0.006792916641037057,11.2,27.587823889320877,0,0.0,0,0.0783605999986321
50.0,49.97493967875336,storm,fixed,2,308.5302104882959,0.0,1.0,0.35722872814938356,440.0,0.18625,0.9998355618118938,0.006796666715066142,11.175,27.608967381502985,0,0.0,0,0.07776139999987208
50.0,49.97493967875336,storm,adaptive,0,403.32107814018997,0.0,1.0,0.15974775387460435,435.625,0.18708333333333332,0.9999618102497115,0.006968333362541065,22.45,17.965304148783517,0,0.0,0,0.08003949999874749
