world,regime,policy,delivered_gbit,completion_rate,weighted_met,n_met,n_partial,n_rejected,fairness,wall_s,n_quotes,optimal
2,C-severe,edf,910.1124218805545,0.08333333333333333,0.08333333333333333,1,11,0,0.9120529608560339,0.0021146000071894377,12,
2,C-severe,tier-deadline,910.1124218805544,0.08333333333333333,0.08333333333333333,1,11,0,0.9120529608560339,0.003194599994458258,12,
2,C-severe,deadline-tier,910.1124218805545,0.08333333333333333,0.08333333333333333,1,11,0,0.9120529608560339,0.0032276000129058957,12,
2,C-severe,density,911.27517102866,0.08333333333333333,0.08333333333333333,1,11,0,0.9093306382671729,0.0016905000084079802,12,
2,C-severe,slack,933.3593021238095,0.08333333333333333,0.08333333333333333,1,10,1,0.8056486423472736,0.013845100009348243,78,
2,C-severe,oppcost,933.3593021238095,0.08333333333333333,0.08333333333333333,1,10,1,0.8056486423472736,0.01387830000021495,79,
2,C-severe,ratio,933.3593021238095,0.08333333333333333,0.08333333333333333,1,10,1,0.8056486423472736,0.013891000009607524,78,
2,C-severe,w_avail,933.3593021238095,0.08333333333333333,0.08333333333333333,1,10,1,0.8056486423472736,0.013246800022898242,78,
2,C-severe,oracle/throughput,954.9554333762638,0.08333333333333333,0.08333333333333333,1,11,0,0.8952047624448269,0.0028159999928902835,0,True
2,C-severe,oracle/priority,954.9542568848732,0.08333333333333333,0.08333333333333333,1,11,0,0.9132281081490432,0.10697530000470579,0,True
3,0-trivial,fcfs,319.94435414380894,0.9285714285714286,0.9642857142857143,13,1,0,0.9949598574264986,0.0026347999810241163,14,
3,0-trivial,edf,316.7244126017771,0.9285714285714286,0.9642857142857143,13,1,0,0.9886829255908451,0.0033745999971870333,14,
3,0-trivial,tier-deadline,309.99129632504435,0.9285714285714286,0.9642857142857143,13,1,0,0.967189649281164,0.0024627000093460083,14,
3,0-trivial,deadline-tier,316.7244126017771,0.9285714285714286,0.9642857142857143,13,1,0,0.9886829255908451,0.001589599996805191,14,
3,0-trivial,density,309.99129632504435,0.9285714285714286,0.9642857142857143,13,1,0,0.967189649281164,0.003575699985958636,14,
3,0-trivial,slack,309.99129632504435,0.9285714285714286,0.9642857142857143,13,1,0,0.967189649281164,0.013214800012065098,105,
3,0-trivial,oppcost,309.99129632504435,0.9285714285714286,0.9642857142857143,13,1,0,0.967189649281164,0.029746899992460385,196,
3,0-trivial,ratio,309.99129632504435,0.9285714285714286,0.9642857142857143,13,1,0,0.967189649281164,0.02772680000634864,105,
3,0-trivial,w_avail,309.99129632504435,0.9285714285714286,0.9642857142857143,13,1,0,0.967189649281164,0.041218900005333126,105,
3,0-trivial,oracle/throughput,320.9078202818918,0.9285714285714286,0.9642857142857143,13,1,0,0.9963421742775579,0.021608500013826415,0,True
3,0-trivial,oracle/priority,320.9078202818918,0.9285714285714286,0.9642857142857143,13,1,0,0.9963421742775579,0.009867699991445988,0,True
3,A-slack,fcfs,786.6351962648574,0.5384615384615384,0.5416666666666666,7,6,0,0.937570214311946,0.001971399993635714,13,
3,A-slack,edf,811.0171420784707,0.46153846153846156,0.4583333333333333,6,7,0,0.9276246660486709,0.0017071999900508672,13,
3,A-slack,tier-deadline,765.6679505782798,0.6153846153846154,0.625,8,5,0,0.8964700919347671,0.001875999994808808,13,
3,A-slack,deadline-tier,811.0171420784707,0.46153846153846156,0.4583333333333333,6,7,0,0.9276246660486709,0.002916700002970174,13,
3,A-slack,density,783.5033153059621,0.6153846153846154,0.625,8,5,0,0.9081501990137297,0.001615300017874688,13,
3,A-slack,slack,764.4668634667674,0.6153846153846154,0.625,8,5,0,0.9206334105849788,0.022312599990982562,91,
