stage,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
+weather,3,1145.642131989693,0.0,0.0,0.8658392809694144,1110.0,0.07916666666666666,0.9998830341125219,0.01986866663476879,67.13772727272737,17.064058890999647,0,0.0,0,0.6716238999997586
+weather,4,1150.5098737875614,0.0,0.0,0.849075479385289,1101.0,0.07916666666666666,0.9999017296970745,0.023066999971585272,67.17227272727285,17.12774969605039,0,0.0,0,0.658070299999963
+weather,5,1141.5317525944365,0.0,0.0,0.853655004470095,1104.5,0.079,0.9999284824675012,0.022136000037183596,66.82545454545468,17.082289381480624,0,0.0,0,0.6542892000015854
+weather,6,1142.1979507257026,0.0,0.0,0.8512569395544721,1094.5,0.07941666666666666,0.9999061353372917,0.022652000006928574,67.38590909090924,16.950100787165784,0,0.0,0,0.6900640999992902
+weather,7,1133.5575962176028,0.0,0.0,0.8531926654426399,1096.0,0.07925,0.9999324657400113,0.02440400000826533,67.1945454545456,16.869785911185435,0,0.0,0,0.72480060000089
+weather,8,1143.2296481049686,0.0,0.0,0.8481443322279337,1093.0,0.07908333333333334,0.9998676389839956,0.019379333298275014,66.93409090909105,17.079930907819264,0,0.0,0,0.5744067999985418
+weather,9,1145.1972166078924,0.0,0.0,0.8459413826234956,1105.5,0.07916666666666666,0.9999387262850827,0.02198666668239942,67.17227272727285,17.048659664345802,0,0.0,0,0.6065674000001309
+weather,10,1137.1577651015934,0.0,0.0,0.8478436548753546,1105.0,0.07883333333333334,0.9998842835244143,0.023593666719534667,66.63409090909103,17.065705400753785,0,0.0,0,0.6473102999989351
+weather,11,1148.4237886956028,0.0,0.0,0.8585691306005183,1099.5,0.07933333333333334,0.9999182820191449,0.02225566674799969,67.37227272727287,17.04594104082689,0,0.0,0,0.6432037000013224
+weather,12,1132.7639274598084,0.0,0.0,0.8574856418595107,1100.5,0.07875,0.9999059386285141,0.01863599989519571,66.58590909090924,17.012066710890053,0,0.0,0,0.5729281999992963
+weather,13,1132.99646891837,0.0,0.0,0.8606749865348011,1094.5,0.079,0.9998981934884024,0.018226666640354477,66.8686363636365,16.943615580210924,0,0.0,0,0.5540835000010702
+weather,14,1140.835920281412,0.0,0.0,0.8491707488546703,1107.0,0.079,0.9998508498403267,0.017476666671427665,66.86000000000013,17.06305594198938,0,0.0,0,0.5470373999996809
+failure_recovery,0,692.593201707782,0.0,0.0,0.9127807585476893,1265.0,0.05275,0.994926956083838,0.02130166666271786,60.63890909090913,11.421597322429639,20,0.0,0,0.503528200000801
+failure_recovery,1,1142.463738231709,0.0,0.0,0.8666023973301835,1100.0,0.07933333333333334,0.9998923285109091,0.021123666574567324,67.30318181818194,16.97488450572886,0,0.0,0,0.5765996000009181
+failure_recovery,2,1141.063596981773,0.0,0.0,0.8598446324809755,1101.0,0.07916666666666666,0.9999003954154926,0.017055333319149213,67.14636363636376,16.993676726282448,0,0.0,0,0.5470502999996825
+failure_recovery,3,846.0683953229498,0.0,0.0,0.9009209411071121,1204.5,0.06341666666666666,0.993376340259181,0.019392000018948845,75.18205227272726,11.253595369461152,32,0.0,0,0.4325766999991174
