congestion_level,congestion_mult,n_satellites,n_stations,n_beams_total,scheduler,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,starvation_pct,wall_time_s
6x,6,120,2,4,hungarian/throughput,1,648.3280500407609,0.13333333333333333,0.13333333333333333,0.8291075097288496,754.4583333333334,0.6260416666666667,0.10091071594319688,0.03655791664793166,15.425,42.030991898914806,0,0.0,0,0.8083333333333333,1.7049415000001318
6x,6,120,2,4,hungarian/throughput,2,647.8755529921573,0.21666666666666667,0.19166666666666668,0.7937075975731741,706.2083333333334,0.6166666666666667,0.13310999846167626,0.03702166666244011,15.45,41.93369275030145,0,0.0,0,0.7416666666666667,1.654484699999557
6x,6,120,2,4,mip,0,629.4179015318933,0.15833333333333333,0.13333333333333333,0.8119636803025524,730.4166666666666,0.621875,0.08866899709893158,0.14182249998384577,15.4,40.8712923072658,0,0.0,0,0.7833333333333333,1.7190319999999701
6x,6,120,2,4,mip,1,647.7745594065736,0.14166666666666666,0.14166666666666666,0.8292534040686241,750.0833333333334,0.625,0.10150726833703276,0.13456083330917562,15.425,41.995109199777865,0,0.0,0,0.8,1.7110876999995526
6x,6,120,2,4,mip,2,647.8755529921573,0.21666666666666667,0.19166666666666668,0.7937075975731741,706.2083333333334,0.6166666666666667,0.13310999846167626,0.156662916674577,15.45,41.93369275030145,0,0.0,0,0.7416666666666667,1.6858469999997396
8x,8,160,2,4,fcfs/strongest,0,555.7801175760197,0.1,0.09375,0.8776949315178726,765.53125,0.6322916666666667,0.07543371491043438,0.5385550000103952,15.575,35.684116698299825,0,0.0,0,0.2125,2.499967700000525
8x,8,160,2,4,fcfs/strongest,1,552.0806068311343,0.075,0.075,0.8885843228879572,794.0625,0.6354166666666666,0.07447216618632371,0.5358462500150079,15.55,35.503576002002205,0,0.0,0,0.175,2.4456590999998298
8x,8,160,2,4,fcfs/strongest,2,553.7333626373279,0.0875,0.08125,0.8731921521346974,778.375,0.6354166666666666,0.07810086415425531,0.5153441666645145,15.6,35.495728374187685,0,0.0,0,0.16875,2.377217400000518
8x,8,160,2,4,edf/strongest,0,573.128205959715,0.1375,0.1125,0.8738773081976005,745.5625,0.6270833333333333,0.08690409211059402,0.4840116666665987,15.6,36.7389875615202,0,0.0,0,0.7625,2.3225336000004972
8x,8,160,2,4,edf/strongest,1,586.5553847245451,0.15,0.1,0.8816269498617086,751.0625,0.6229166666666667,0.07116606062288,0.5088833332858183,15.55,37.72060351926335,0,0.0,0,0.71875,2.3988485999998375
